mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,7.693e-05,,
9.25,7.74e-05,,
9.5,8.862e-05,,
9.75,0.0001131,,
10,0.0001426,,
10.25,0.0001525,,
10.5,0.0001385,,
10.75,0.0001796,,
11,0.0001336,,
11.25,0.000132,,
11.5,0.0001606,,
11.75,0.0001176,,
12,0.0001827,,
12.25,,0.0002685,0.0002697
12.5,,0.0002773,0.0002839
12.75,,0.0002645,0.0002742
13,,0.0002731,0.0002923
13.1,,0.0002685,0.0002757
13.2,,0.0002696,0.0002768
13.3,,0.0002675,0.0002747
13.4,,0.0002685,0.0002801
13.5,,0.0002735,0.0002836
13.6,,0.0002922,0.0003059
13.7,,0.0002832,0.0002949
13.8,,0.0002806,0.0002926
13.9,,0.0002755,0.0002846
14,,0.0002771,0.000284
14.1,,0.0002844,0.0002911
14.2,,0.0002669,0.000272
14.3,,0.0002755,0.0002867
14.4,,0.0002771,0.0002793
14.5,,0.0002722,0.0002736
14.6,,0.0002691,0.0002727
14.7,,0.0002703,0.0002803
14.8,,0.0002686,0.0002707
14.9,,0.0002615,0.000267
15.2,,0.0005237,0.0005472
15.7,,0.0004766,0.0005078
15.8,,0.0004518,0.000533
15.9,,,0.0004198
16,,0.0004711,0.000543
16.1,,0.0004672,0.0004947
16.2,,0.0004392,0.0005095
16.3,,0.0004781,0.0005449
16.4,,0.000426,0.0005023
16.5,,0.0004456,0.0005227
16.6,,0.0005009,0.000572
16.7,,0.0005059,0.0005765
16.8,,0.0004764,0.0005496
16.9,,0.0004713,0.0005495
17,,0.0004734,0.0005512
17.1,,0.0004659,0.0005427
17.3,,0.0002398,0.0003026
17.4,,0.0002601,0.0003197
17.5,,0.0002827,0.0003466
17.6,,0.0002717,0.0003324
17.7,,,0.0003009
17.9,,0.0002639,0.0002709
18,,,0.0001866
18.1,,0.0002537,0.000259
18.2,,0.0002546,0.0002637
18.3,,0.0002514,0.0002572
18.4,,0.0002477,0.0002546
18.5,,0.0001742,0.0002193
18.7,,,0.0002025
18.8,,,0.0003012
18.9,,,0.0002341
19,,,0.0002528
19.1,,,0.0002572
19.2,,0.0002573,0.0003238
19.3,,0.0003618,0.0003909
19.4,,,0.0001576
19.7,,0.001181,0.001181
19.8,,0.000735,0.0007261
20.1,,0.0005124,0.0005783
20.2,,0.0008718,0.000882
20.3,,0.0009788,0.001019
20.4,,0.001143,0.001149
20.5,,0.0009164,0.0009215
20.6,,,0.0002275
20.8,,0.0001649,0.0001644
21,,0.0003239,0.0003451
21.1,,0.0003006,0.0003222
21.2,,0.0001824,0.0001844
21.5,,0.0005213,0.0005832
21.6,,0.0004307,0.0005196
21.7,,,0.0004092
25.2,,0.0005407,0.0005285
25.3,,,0.0005442
25.4,,0.0004924,0.0005487
25.5,,0.0005381,0.0005261
25.6,,0.0004031,0.0004041
25.7,,0.0005042,0.0005049
25.8,,0.0005647,0.0005651
25.9,,0.0007682,0.000768
26,,0.0006918,0.0007033
26.1,,0.0006156,0.0006781
26.2,,0.0006049,0.000667
26.3,,0.000484,0.0005505
26.4,,0.0004615,0.0005002
26.5,,0.0004715,0.0004949
26.6,,,0.0004719
26.7,,,0.0004589
26.8,,,0.0004452
26.9,,,0.0004398
27,,0.0003598,0.0004409
27.1,,0.000355,0.0004356
27.2,,0.0003996,0.0004452
27.3,,0.0003594,0.0004355
27.4,,,0.0004211
29,,,0.0001678
29.1,,,0.0001637
29.2,,,0.0001392
29.6,,,0.0001831
60,,0.0001817,0.0002124
80,,,4.895e-05
100,,,3.933e-05
120,,2.994e-05,2.919e-05
