Initial Mass (M_sun),S16 (Z9.6),S16 (W18),S16 (N20)
9.0,1.3154899994603713,,
9.25,1.3179101023955129,,
9.5,1.3224455081106097,,
9.75,1.3258889705733132,,
10.0,1.3331299620772277,,
10.25,1.3398739247903386,,
10.5,1.3485788391660192,,
10.75,1.3593075654639724,,
11.0,1.3611180022463942,,
11.25,1.360867528018437,,
11.5,1.3559974545291469,,
11.75,1.3726741312242143,,
12.0,1.3893907967092571,,
12.25,,1.3962811951802172,1.3945770029952236
12.5,,1.4065438021781098,1.4073511108550423
12.75,,1.4120372469726123,1.4125182439136452
13.0,,1.420148578542673,1.4215555619767801
13.1,,1.4423179567755677,1.4428301408653437
13.2,,1.4436616062625751,1.444125265010029
13.3,,1.4412162861795463,1.4415489389866505
13.4,,1.447810566312527,1.4481529668583075
13.5,,1.4549544165354844,1.4552636711259723
13.6,,1.4619435278343336,1.4624676432302217
13.7,,1.460617471638846,1.461105868572965
13.8,,1.468897279967084,1.4693161430458985
13.9,,1.460528625492695,1.4608178569455181
14.0,,1.4708039100607961,1.4713885971628342
14.1,,1.479335235720745,1.4796297038788306
14.2,,1.4717159414653158,1.4720863054942832
14.3,,1.4756447024822514,1.4764373973533793
14.4,,1.48101031768529,1.4810677758358386
14.5,,1.5013039490868605,1.5013986707284475
14.6,,1.482851080562436,1.4830308243898147
14.7,,1.495438985691903,1.4960881855054824
14.8,,1.4848263175521705,1.4848988453519312
14.9,,1.4856380396886986,1.486805048480241
15.2,,1.5538914741419383,1.554425980051025
15.7,,1.5526851044083407,1.5533794813514914
15.8,,1.5412047718419337,1.5467247338011783
15.9,,,1.5370361970673136
16.0,,1.5837292516662598,1.5893651081672169
16.1,,1.5477076206311362,1.5473584128669897
16.2,,1.5693204309675948,1.5746339776136713
16.3,,1.5560959411996587,1.5610078541985937
16.4,,1.5552910412671863,1.5614155567532073
16.5,,1.5619202298378403,1.5673289881183345
16.6,,1.5797630509904352,1.5848805600424138
16.7,,1.5749634612581447,1.5800139032210763
16.8,,1.5732295397759113,1.579294790668597
16.9,,1.5777318414170183,1.582914918577775
17.0,,1.5801979282938843,1.5864915406421787
17.1,,1.5844777600864315,1.5898369086312811
17.3,,1.592794888271502,1.5981215647191191
17.4,,1.6134099572103064,1.6187971628677897
17.5,,1.60505403202977,1.610017262688868
17.6,,1.6062843584751547,1.611435461523967
17.7,,,1.6184304129323392
17.9,,1.6055401785973076,1.6058973084335646
18.0,,,1.6174458577130377
18.1,,1.609095853850471,1.6093613585459479
18.2,,1.6186127476736316,1.6191668080485708
18.3,,1.6185797744241661,1.6188364734920544
18.4,,1.624400062622119,1.6246953505850497
18.5,,1.6665959285088976,1.6707807377938502
18.7,,,1.6589430323887138
18.8,,,1.6841350801469708
18.9,,,1.684726901552759
19.0,,,1.6552793063778797
19.1,,,1.660156675900098
19.2,,1.6788886205969222,1.6842536257426242
19.3,,1.6962282072145896,1.6990848018422953
19.4,,,1.698883752924005
19.7,,1.7250275647742412,1.7255265138937015
19.8,,1.7216096881223075,1.722614512499016
20.1,,1.7188728235837063,1.7271814496025866
20.2,,1.7548586927967824,1.755369502854846
20.3,,1.74412820289463,1.7486212445481044
20.4,,1.7688262164298498,1.7702419325411767
20.5,,1.7683487645583844,1.768583433437594
20.6,,,1.7852620546068256
20.8,,1.7783018341791446,1.7784212887801885
21.0,,1.7997466305784038,1.8022581505737263
21.1,,1.8004901650820995,1.802707187324702
21.2,,1.7707701670073082,1.7709792903338688
21.5,,1.8399302138241618,1.8474107444354313
21.6,,1.8223428371605164,1.8325002733953346
21.7,,,1.8205126653835164
25.2,,2.454820191906441,2.4500406652762807
25.3,,,2.2194204217760847
25.4,,2.321301527508843,2.3303739050503136
25.5,,2.3829353641915105,2.3797495578863375
25.6,,2.3667737674262783,2.3658833693229933
25.7,,2.3509745363465737,2.3517047961921143
25.8,,2.359082035811326,2.3596185799916047
25.9,,2.457282853878755,2.4543828690521554
26.0,,2.4699042227640335,2.4691080749751833
26.1,,2.477889246106355,2.4888983559633013
26.2,,2.5062643902021358,2.5163165866830326
26.3,,2.5425419714084136,2.559984173182481
26.4,,2.59879180402767,2.605706782203324
26.5,,2.5211840054563495,2.526195014973154
26.6,,,2.601629926617783
26.7,,,2.6764879361749094
26.8,,,2.6611785091626863
26.9,,,2.6501846368039614
27.0,,2.6529854065313128,2.6734861066498476
27.1,,2.7327124287812214,2.7538012574667357
27.2,,2.7232225748073935,2.7378663451567795
27.3,,2.7972147913446452,2.8195971941429034
27.4,,,2.847021824154193
29.0,,,3.218842753450478
29.1,,,3.657235595501138
29.2,,,3.4848596514004613
29.6,,,3.9646458031784215
60.0,,,
80.0,,,
100.0,,,
120.0,,,
